locality_pid,gnaf_locality_pid,date_created,date_retired,locality_name,postcode,locality_class
VIC1,250190485,27/4/12,,ABBEYARD,3737,GAZETTED LOCALITY
VIC2,250184191,27/4/12,,ABBOTSFORD,3067,GAZETTED LOCALITY
VIC3,250184192,27/4/12,,ABERFELDIE,3040,GAZETTED LOCALITY
VIC4,250176933,27/4/12,,ABERFELDY,3825,GAZETTED LOCALITY
VIC5,250184193,27/4/12,,ACHERON,3714,GAZETTED LOCALITY
VIC6,,3/8/18,,ADA,,GAZETTED LOCALITY
VIC7,250176935,27/4/12,,ADAMS ESTATE,3984,GAZETTED LOCALITY
VIC8,250176936,27/4/12,,ADDINGTON,3352,GAZETTED LOCALITY
VIC9,250184194,27/4/12,,ADELAIDE LEAD,3465,GAZETTED LOCALITY
VIC10,250184195,27/4/12,,AGNES,3962,GAZETTED LOCALITY
VIC3010,500223546,9/8/17,,AINTREE,3336,GAZETTED LOCALITY
VIC11,,3/8/18,,AIRE VALLEY,,GAZETTED LOCALITY
VIC12,250184196,31/10/13,,AIREYS INLET,3231,GAZETTED LOCALITY
VIC13,250176940,9/11/15,,AIRLY,3851,GAZETTED LOCALITY
VIC14,250184197,27/4/12,,AIRPORT WEST,3042,GAZETTED LOCALITY
VIC15,,3/8/18,,ALBACUTYA,,GAZETTED LOCALITY
VIC16,250184198,27/4/12,,ALBANVALE,3021,GAZETTED LOCALITY
VIC17,250184199,3/2/18,,ALBERT PARK,3206,GAZETTED LOCALITY
VIC18,250184200,29/10/12,,ALBERTON,3971,GAZETTED LOCALITY
VIC19,250184201,2/5/17,,ALBERTON WEST,3971,GAZETTED LOCALITY
VIC20,250184202,27/4/12,,ALBION,3020,GAZETTED LOCALITY
VIC21,250184203,12/5/18,,ALEXANDRA,3714,GAZETTED LOCALITY
VIC22,250184204,2/2/17,,ALFREDTON,3350,GAZETTED LOCALITY
VIC23,250176949,5/8/13,,ALLAMBEE,3823,GAZETTED LOCALITY
